	diseaseId	diseaseName	diseaseType	diseaseClass	diseaseSemanticType	autism_subtype_broad	n_genes	is_autism	Degree_Centrality	Betweenness_Centrality	Degree
20	C0546126	Acute Confusional Senile Dementia	disease	C10;F03	Mental or Behavioral Dysfunction	Not Autism	84	False	0.03354338342220068	0.0012050244430329069	346
21	C0750900	Alzheimer's Disease, Focal Onset	disease	C10;F03	Mental or Behavioral Dysfunction	Not Autism	84	False	0.03354338342220068	0.0012050244430329069	346
22	C0750901	Alzheimer Disease, Early Onset	disease	C10;F03	Disease or Syndrome	Not Autism	84	False	0.03354338342220068	0.0012050244430329069	346
23	C1527352	Hepatic Form of Wilson Disease	disease	C06;C10;C16;C18	Disease or Syndrome	Not Autism	24	False	0.013572467280659235	5.5579088355956514e-05	140
24	C1565662	Acute Kidney Insufficiency	disease	C12;C13	Disease or Syndrome	Not Autism	86	False	0.04643722733882695	0.002161515559587307	479
25	C2239176	Liver carcinoma	disease	C04;C06	Neoplastic Process	Not Autism	245	False	0.04827920504120213	0.0028871115290851662	498
26	C2609414	Acute kidney injury	disease	C12;C13	Injury or Poisoning	Not Autism	86	False	0.04643722733882695	0.002161515559587307	479
27	C3279661	alpha-2-Macroglobulin Deficiency	disease	C08	Disease or Syndrome	Not Autism	1	False	9.694619486185167e-05	0.0	1
28	C0001973	Alcoholic Intoxication, Chronic	disease	C25;F03	Mental or Behavioral Dysfunction	Not Autism	287	False	0.032767813863305864	0.0026063368954093195	338
29	C0004403	Autosome Abnormalities	group	C23	Cell or Molecular Dysfunction	Not Autism	16	False	0.0029083858458555504	2.0585112305001453e-05	30
30	C0005684	Malignant neoplasm of urinary bladder	disease	C04;C12;C13	Neoplastic Process	Not Autism	124	False	0.034609791565681045	0.0022372588928375762	357
31	C0005695	Bladder Neoplasm	group	C04;C12;C13	Neoplastic Process	Not Autism	123	False	0.03538536112457586	0.0027299205559292074	365
32	C0006826	Malignant Neoplasms	group	C04	Neoplastic Process	Not Autism	160	False	0.046728065923412505	0.01040135384164388	482
33	C0008625	Chromosome Aberrations	group	C23	Cell or Molecular Dysfunction	Not Autism	16	False	0.0029083858458555504	2.0585112305001453e-05	30
34	C0013221	Drug toxicity	group	C25	Injury or Poisoning	Not Autism	80	False	0.027629665535627727	0.0022724233669525044	285
35	C0027651	Neoplasms	group	C04	Neoplastic Process	Not Autism	65	False	0.022491517207949587	0.00017608497128815731	232
36	C0028796	Dermatitis, Occupational	disease	C17;C24	Disease or Syndrome	Not Autism	4	False	0.0007755695588948134	1.888538607625353e-05	8
37	C0033578	Prostatic Neoplasms	group	C04;C12	Neoplastic Process	Not Autism	601	False	0.041202132816286964	0.002520627137481964	425
38	C0041755	Adverse reaction to drug	group	C25	Pathologic Function	Not Autism	80	False	0.027629665535627727	0.0022724233669525044	285
39	C0086457	Industrial Dermatosis	disease	C17;C24	Disease or Syndrome	Not Autism	4	False	0.0007755695588948134	1.888538607625353e-05	8
40	C0086692	Benign Neoplasm	group	C04	Neoplastic Process	Not Autism	65	False	0.022394571013087738	0.0001741222859633806	231
41	C0376358	Malignant neoplasm of prostate	disease	C04;C12	Neoplastic Process	Not Autism	601	False	0.04149297140087252	0.002969101581671449	428
42	C0006142	Malignant neoplasm of breast	disease	C04;C17	Neoplastic Process	Not Autism	1025	False	0.029859428017450316	0.0013596177409096796	308
43	C0010054	Coronary Arteriosclerosis	disease	C14	Disease or Syndrome	Not Autism	65	False	0.016577799321376638	0.0008930884414231246	171
44	C0011999	Diastematomyelia	disease	C10;C16	Congenital Abnormality	Not Autism	28	False	0.008919049927290354	0.0004946975203829606	92
45	C0013182	Drug Allergy	phenotype	C20;C25	Pathologic Function	Not Autism	35	False	0.011730489578284053	0.00017051050286316739	121
46	C0019193	Hepatitis, Toxic	disease	C06;C25	Injury or Poisoning	Not Autism	315	False	0.03422200678623364	0.0006753563605232255	353
47	C0023452	Childhood Acute Lymphoblastic Leukemia	disease	C04;C15;C20	Neoplastic Process	Not Autism	49	False	0.010470189045079981	0.0003425766229944834	108
48	C0023453	Leukemia, Lymphocytic, Acute, L2	disease	C04;C15;C20	Neoplastic Process	Not Autism	49	False	0.010470189045079981	0.0003425766229944834	108
49	C0023530	Leukopenia	disease	C15	Disease or Syndrome	Not Autism	8	False	0.011827435773145904	0.0006942339832302533	122
50	C0023903	Liver neoplasms	group	C04;C06	Neoplastic Process	Not Autism	136	False	0.028793019873969948	0.0009113741544246241	297
51	C0027794	Neural Tube Defects	group	C10;C16	Congenital Abnormality	Not Autism	28	False	0.008919049927290354	0.0004946975203829606	92
52	C0027806	Neurenteric Cyst	disease	C10;C16	Congenital Abnormality	Not Autism	28	False	0.008919049927290354	0.0004946975203829606	92
53	C0080218	Tethered Cord Syndrome	disease	C10;C16	Disease or Syndrome	Not Autism	28	False	0.008822103732428503	0.0004715529971901942	91
54	C0152234	Iniencephaly	disease	C10;C16	Congenital Abnormality	Not Autism	28	False	0.008822103732428503	0.0004715529971901942	91
55	C0152426	Craniorachischisis	disease	C10;C16	Congenital Abnormality	Not Autism	29	False	0.008531265147842948	0.0003212746817606755	88
56	C0266453	Exencephaly	disease	C10;C16	Congenital Abnormality	Not Autism	28	False	0.008822103732428503	0.0004715529971901942	91
57	C0344479	Spinal Cord Myelodysplasia	disease	C10;C16	Congenital Abnormality	Not Autism	28	False	0.008822103732428503	0.0004715529971901942	91
58	C0345904	Malignant neoplasm of liver	disease	C04;C06	Neoplastic Process	Not Autism	141	False	0.030538051381483276	0.001054620748987083	315
59	C0345967	Malignant mesothelioma	disease	C04;C08	Neoplastic Process	Not Autism	109	False	0.020261754726127	0.0005466094260001058	209
60	C0678222	Breast Carcinoma	disease	C04;C17	Neoplastic Process	Not Autism	487	False	0.05070285991274843	0.003424956622363656	523
61	C0702169	Acrania	disease	C10;C16	Congenital Abnormality	Not Autism	28	False	0.00872515753756665	0.0003324349910470586	90
62	C0860207	Drug-Induced Liver Disease	disease	C06;C25	Disease or Syndrome	Not Autism	315	False	0.03431895298109549	0.0006832886872681466	354
63	C1257931	Mammary Neoplasms, Human	group	C04;C17	Neoplastic Process	Not Autism	474	False	0.05293262239457101	0.0037195267315133667	546
64	C1262760	Hepatitis, Drug-Induced	disease	C06;C25	Disease or Syndrome	Not Autism	315	False	0.03431895298109549	0.0006832886872681466	354
65	C1458155	Mammary Neoplasms	group	C04;C17	Neoplastic Process	Not Autism	476	False	0.05322346097915657	0.004069909258693565	549
66	C1956346	Coronary Artery Disease	disease	C14	Disease or Syndrome	Not Autism	65	False	0.01677169171110034	0.0009082505068191285	173
67	C1961102	Precursor Cell Lymphoblastic Leukemia Lymphoma	disease	C04;C15;C20	Neoplastic Process	Not Autism	58	False	0.01279689772176442	0.0010282864618995971	132
68	C3658290	Drug-Induced Acute Liver Injury	disease	C06;C25	Disease or Syndrome	Not Autism	315	False	0.03431895298109549	0.0006832886872681466	354
69	C4277682	Chemical and Drug Induced Liver Injury	disease	C06;C25	Disease or Syndrome	Not Autism	315	False	0.03431895298109549	0.0006832886872681466	354
70	C4279912	Chemically-Induced Liver Toxicity	disease	C06;C25	Disease or Syndrome	Not Autism	315	False	0.03431895298109549	0.0006832886872681466	354
71	C0023794	Lipoidosis	disease	C16;C18	Disease or Syndrome	Not Autism	19	False	0.0	0.0	0
72	C0033975	Psychotic Disorders	group	F03	Mental or Behavioral Dysfunction	Not Autism	117	False	0.008628211342704799	6.17390010825395e-05	89
73	C0349204	Nonorganic psychosis	disease		Mental or Behavioral Dysfunction	Not Autism	81	False	0.0025206010664081437	1.786665903444838e-05	26
74	C0005587	Depression, Bipolar	disease	F03	Mental or Behavioral Dysfunction	Not Autism	53	False	0.01221522055259331	0.0011379463239270743	126
75	C0393770	Delayed Sleep Phase Syndrome	disease	C10;C24;F03	Disease or Syndrome	Not Autism	5	False	0.0006786233640329617	2.47644859475136e-05	7
76	C0494410	Nonorganic Sleep Wake Cycle Disorders	group	C10;C24;F03	Mental or Behavioral Dysfunction	Not Autism	5	False	0.0006786233640329617	2.47644859475136e-05	7
77	C0751758	Advanced Sleep Phase Syndrome	disease	C10;C24;F03	Disease or Syndrome	Not Autism	5	False	0.0006786233640329617	2.47644859475136e-05	7
78	C0751759	Non-24 Hour Sleep-Wake Disorder	disease	C10;C24;F03	Mental or Behavioral Dysfunction	Not Autism	5	False	0.0006786233640329617	2.47644859475136e-05	7
79	C0751760	Shift-Work Sleep Disorder	disease	C10;C24;F03	Mental or Behavioral Dysfunction	Not Autism	5	False	0.0006786233640329617	2.47644859475136e-05	7
80	C0877792	Sleep Disorders, Circadian Rhythm	group	C10;C24;F03	Pathologic Function	Not Autism	5	False	0.0006786233640329617	2.47644859475136e-05	7
81	C0004138	Ataxias, Hereditary	group	C10;C16	Disease or Syndrome	Not Autism	155	False	0.007561803199224431	0.003862818370384736	78
82	C0007959	Charcot-Marie-Tooth Disease	disease	C10;C16	Disease or Syndrome	Not Autism	200	False	0.010179350460494426	0.010800014449938122	105
83	C0543888	Epileptic encephalopathy	disease		Disease or Syndrome	Not Autism	449	False	0.02258846340281144	0.01655247545618177	233
84	C2750090	Charcot-Marie-Tooth Disease, Axonal, Type 2n	disease	C10;C16	Disease or Syndrome	Not Autism	1	False	9.694619486185167e-05	0.0	1
85	C3714756	Intellectual Disability	group	C10;C23;F01;F03	Mental or Behavioral Dysfunction	Not Autism	2037	False	0.03945710130877363	0.06886586696716292	407
86	C4225361	EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 29	disease		Disease or Syndrome	Not Autism	1	False	9.694619486185167e-05	0.0	1
87	A00	Autism Spectrum Disorder	disease	F03	Mental or Behavioral Dysfunction	Polygenic Autism	292	True	0.0318952981095492	0.00495094347071327	329
88	C0017168	Gastroesophageal reflux disease	disease	C06	Disease or Syndrome	Not Autism	4	False	0.007949587978671837	0.00031876634861177953	82
89	C0022333	Jacksonian Seizure	disease	C10;C23	Disease or Syndrome	Not Autism	99	False	0.0403296170625303	0.0011733937971943847	416
90	C0023380	Lethargy	phenotype	C10;C23;F01	Sign or Symptom	Not Autism	4	False	0.0032961706253029567	0.00012515584939429378	34
91	C0026825	Flaccid Muscle Tone	phenotype	C10;C23	Sign or Symptom	Not Autism	6	False	0.006495395055744062	0.0004369994464554951	67
92	C0026827	Muscle hypotonia	phenotype	C10;C23	Finding	Not Autism	6	False	0.006495395055744062	0.0004369994464554951	67
93	C0033922	Psychomotor Disorders	group	C10;C23;F01	Mental or Behavioral Dysfunction	Not Autism	7	False	0.007561803199224431	0.0005033045152273757	78
94	C0034933	Reflex, Abnormal	phenotype	C10;C23	Sign or Symptom	Not Autism	5	False	0.005428986912263694	3.763237776678254e-05	56
95	C0036572	Seizures	phenotype	C10;C23	Sign or Symptom	Not Autism	99	False	0.0403296170625303	0.0011733937971943847	416
96	C0149958	Complex partial seizures	disease	C10;C23	Disease or Syndrome	Not Autism	99	False	0.0403296170625303	0.0011733937971943847	416
97	C0151572	Reflex, Corneal, Decreased	phenotype	C10;C23	Finding	Not Autism	5	False	0.005428986912263694	3.763237776678254e-05	56
98	C0151888	Hyporeflexia	phenotype	C10;C23	Finding	Not Autism	5	False	0.005428986912263694	3.763237776678254e-05	56
99	C0151889	Hyperreflexia	phenotype	C10;C23	Finding	Not Autism	5	False	0.005428986912263694	3.763237776678254e-05	56
100	C0234146	Absent reflex	phenotype	C10;C23	Finding	Not Autism	5	False	0.005428986912263694	3.763237776678254e-05	56
101	C0234533	Generalized seizures	disease	C10;C23	Disease or Syndrome	Not Autism	99	False	0.04042656325739215	0.0011788642647382725	417
102	C0234535	Seizures, Clonic	disease	C10;C23	Disease or Syndrome	Not Autism	99	False	0.04042656325739215	0.0011788642647382725	417
103	C0234784	Reflex, Gag, Absent	phenotype	C10;C23	Finding	Not Autism	5	False	0.005428986912263694	3.763237776678254e-05	56
104	C0241772	Reflex, Deep Tendon, Absent	phenotype	C10;C23	Finding	Not Autism	5	False	0.005428986912263694	3.763237776678254e-05	56
105	C0270824	Visual seizure	disease	C10;C23	Disease or Syndrome	Not Autism	99	False	0.04042656325739215	0.0011788642647382725	417
106	C0270844	Tonic Seizures	phenotype	C10;C23	Sign or Symptom	Not Autism	99	False	0.04042656325739215	0.0011788642647382725	417
107	C0270846	Epileptic drop attack	disease	C10;C23	Disease or Syndrome	Not Autism	99	False	0.04042656325739215	0.0011788642647382725	417
108	C0277839	Hoffman's Reflex	phenotype	C10;C23	Finding	Not Autism	5	False	0.005428986912263694	3.763237776678254e-05	56
109	C0277850	Reflex, Pendular	phenotype	C10;C23	Finding	Not Autism	5	False	0.005428986912263694	3.763237776678254e-05	56
110	C0278211	Reflex, Corneal, Absent	phenotype	C10;C23	Finding	Not Autism	5	False	0.005428986912263694	3.763237776678254e-05	56
111	C0342708	Gamma aminobutyric acid transaminase deficiency	disease	C16;C18	Disease or Syndrome	Not Autism	1	False	0.003974793989335919	5.372602030638251e-05	41
112	C0422850	Seizures, Somatosensory	phenotype	C10;C23	Pathologic Function	Not Autism	99	False	0.040523509452254	0.0011845518360688446	418
113	C0422852	Seizures, Auditory	phenotype	C10;C23	Pathologic Function	Not Autism	99	False	0.040523509452254	0.0011845518360688446	418
114	C0422853	Olfactory seizure	disease	C10;C23	Disease or Syndrome	Not Autism	99	False	0.040523509452254	0.0011845518360688446	418
115	C0422854	Gustatory seizure	phenotype	C10;C23	Sign or Symptom	Not Autism	99	False	0.040523509452254	0.0011845518360688446	418
116	C0422855	Vertiginous seizure	disease	C10;C23	Disease or Syndrome	Not Autism	99	False	0.040523509452254	0.0011845518360688446	418
117	C0427201	Floppy Muscles	phenotype	C10;C23	Sign or Symptom	Not Autism	6	False	0.006495395055744062	0.0004369994464554951	67
118	C0427202	Muscle Tone Atonic	phenotype	C10;C23	Sign or Symptom	Not Autism	6	False	0.006495395055744062	0.0004369994464554951	67
119	C0494475	Tonic - clonic seizures	disease	C10;C23	Disease or Syndrome	Not Autism	99	False	0.040523509452254	0.0011845518360688446	418
120	C0522345	Reflex, Acoustic, Abnormal	phenotype	C10;C23	Finding	Not Autism	5	False	0.005428986912263694	3.763237776678254e-05	56
121	C0558845	Reflex, Ankle, Absent	phenotype	C10;C23	Finding	Not Autism	5	False	0.005428986912263694	3.763237776678254e-05	56
122	C0558846	Reflex, Triceps, Absent	phenotype	C10;C23	Finding	Not Autism	5	False	0.005428986912263694	3.763237776678254e-05	56
123	C0558847	Reflex, Biceps, Absent	phenotype	C10;C23	Finding	Not Autism	5	False	0.005428986912263694	3.763237776678254e-05	56
124	C0576612	Reflex, Anal, Absent	phenotype	C10;C23	Finding	Not Autism	5	False	0.005428986912263694	3.763237776678254e-05	56
125	C0679465	Psychomotor Impairment	phenotype	C10;C23;F01	Mental or Behavioral Dysfunction	Not Autism	7	False	0.007561803199224431	0.0005033045152273757	78
126	C0743002	Abnormal Deep Tendon Reflex	phenotype	C10;C23	Finding	Not Autism	5	False	0.005428986912263694	3.763237776678254e-05	56
127	C0751056	Non-epileptic convulsion	phenotype	C10;C23	Sign or Symptom	Not Autism	99	False	0.040523509452254	0.0011845518360688446	418
128	C0751110	Single Seizure	disease	C10;C23	Disease or Syndrome	Not Autism	99	False	0.040523509452254	0.0011845518360688446	418
129	C0751123	Atonic Absence Seizures	disease	C10;C23	Disease or Syndrome	Not Autism	99	False	0.040523509452254	0.0011845518360688446	418
130	C0751330	Unilateral Hypotonia	phenotype	C10;C23	Sign or Symptom	Not Autism	6	False	0.006495395055744062	0.0004369994464554951	67
131	C0751456	Developmental Psychomotor Disorders	disease	C10;C23;F01	Mental or Behavioral Dysfunction	Not Autism	7	False	0.007561803199224431	0.0005033045152273757	78
132	C0751468	Bulbocavernosus Reflex, Decreased	phenotype	C10;C23	Finding	Not Autism	5	False	0.005428986912263694	3.763237776678254e-05	56
133	C0751469	Bulbocavernousus Reflex Absent	phenotype	C10;C23	Finding	Not Autism	5	False	0.005428986912263694	3.763237776678254e-05	56
134	C0751470	Palmo-Mental Reflex	phenotype	C10;C23	Finding	Not Autism	5	False	0.005428986912263694	3.763237776678254e-05	56
135	C0751471	Reflex, Anal, Decreased	phenotype	C10;C23	Finding	Not Autism	5	False	0.005428986912263694	3.763237776678254e-05	56
136	C0751472	Reflex, Ankle, Abnormal	phenotype	C10;C23	Finding	Not Autism	5	False	0.005428986912263694	3.763237776678254e-05	56
137	C0751473	Reflex, Ankle, Decreased	phenotype	C10;C23	Finding	Not Autism	5	False	0.005428986912263694	3.763237776678254e-05	56
138	C0751474	Reflex, Biceps, Abnormal	phenotype	C10;C23	Finding	Not Autism	5	False	0.005428986912263694	3.763237776678254e-05	56
139	C0751475	Reflex, Biceps, Decreased	phenotype	C10;C23	Finding	Not Autism	5	False	0.005428986912263694	3.763237776678254e-05	56
140	C0751476	Reflex, Gag, Decreased	phenotype	C10;C23	Finding	Not Autism	5	False	0.005428986912263694	3.763237776678254e-05	56
141	C0751477	Reflex, Knee, Abnormal	phenotype	C10;C23	Finding	Not Autism	5	False	0.005428986912263694	3.763237776678254e-05	56
142	C0751478	Reflex, Knee, Decreased	phenotype	C10;C23	Finding	Not Autism	5	False	0.005428986912263694	3.763237776678254e-05	56
143	C0751479	Reflex, Moro, Asymmetric	phenotype	C10;C23	Finding	Not Autism	5	False	0.005428986912263694	3.763237776678254e-05	56
144	C0751480	Reflex, Triceps, Abnormal	phenotype	C10;C23	Finding	Not Autism	5	False	0.005428986912263694	3.763237776678254e-05	56
145	C0751481	Reflex, Triceps, Decreased	phenotype	C10;C23	Finding	Not Autism	5	False	0.005428986912263694	3.763237776678254e-05	56
146	C0751494	Convulsive Seizures	phenotype	C10;C23	Sign or Symptom	Not Autism	99	False	0.040523509452254	0.0011845518360688446	418
147	C0751495	Seizures, Focal	phenotype	C10;C23	Disease or Syndrome	Not Autism	99	False	0.040523509452254	0.0011845518360688446	418
148	C0751496	Seizures, Sensory	phenotype	C10;C23	Sign or Symptom	Not Autism	99	False	0.040523509452254	0.0011845518360688446	418
149	C0751651	Mitochondrial Diseases	group	C18	Disease or Syndrome	Not Autism	306	False	0.005719825496849249	0.005502298982589581	59
150	C2267233	Neonatal Hypotonia	disease	C10;C23	Disease or Syndrome	Not Autism	6	False	0.006495395055744062	0.0004369994464554951	67
151	C3495874	Nonepileptic Seizures	disease	C10;C23	Disease or Syndrome	Not Autism	99	False	0.0403296170625303	0.0011675195328181768	416
152	C4048158	Convulsions	phenotype	C10;C23	Sign or Symptom	Not Autism	99	False	0.0403296170625303	0.0008616534635647029	416
153	C4316903	Absence Seizures	phenotype	C10;C23	Sign or Symptom	Not Autism	99	False	0.0403296170625303	0.0008616534635647029	416
154	C4317109	Epileptic Seizures	disease	C10;C23	Disease or Syndrome	Not Autism	99	False	0.0403296170625303	0.0008616534635647029	416
155	C4317123	Myoclonic Seizures	phenotype	C10;C23	Sign or Symptom	Not Autism	99	False	0.0403296170625303	0.0008616534635647029	416
156	C4505436	Generalized Absence Seizures	disease	C10;C23	Disease or Syndrome	Not Autism	99	False	0.0403296170625303	0.0008616534635647029	416
157	C0004153	Atherosclerosis	disease	C14	Disease or Syndrome	Not Autism	54	False	0.04905477460009695	0.0041778195662584856	506
158	C0009402	Colorectal Carcinoma	disease	C04;C06	Neoplastic Process	Not Autism	249	False	0.02666020358700921	0.0022480540876393166	275
159	C0009404	Colorectal Neoplasms	group	C04;C06	Neoplastic Process	Not Autism	248	False	0.02666020358700921	0.0022480540876393166	275
160	C0020443	Hypercholesterolemia	disease	C18	Disease or Syndrome	Not Autism	22	False	0.0053320407174018425	0.0009646862338063422	55
161	C0020445	Hypercholesterolemia, Familial	disease	C16;C18	Disease or Syndrome	Not Autism	39	False	0.005913717886572952	0.002161919018169023	61
162	C0022661	Kidney Failure, Chronic	disease	C12;C13	Disease or Syndrome	Not Autism	46	False	0.03082888996606883	0.0008197791219568799	318
163	C0031117	Peripheral Neuropathy	group	C10	Disease or Syndrome	Not Autism	52	False	0.016286960736791083	0.0006416084516360066	168
164	C0039292	Tangier Disease	disease	C10;C16;C18	Disease or Syndrome	Not Autism	1	False	0.0007755695588948134	2.083445391239912e-07	8
165	C0342898	Apolipoprotein A-I deficiency	phenotype		Pathologic Function	Not Autism	2	False	0.0014541929229277752	3.751224150666606e-05	15
166	C0473527	Hypoalphalipoproteinemias	disease	C16;C18	Disease or Syndrome	Not Autism	2	False	0.0014541929229277752	3.751224150666606e-05	15
167	C0745103	Hyperlipoproteinemia Type IIa	disease	C16;C18	Disease or Syndrome	Not Autism	16	False	0.0019389238972370335	3.6818879650858486e-06	20
168	C0751544	Tangier Disease Neuropathy	disease	C10;C16;C18	Disease or Syndrome	Not Autism	1	False	0.0007755695588948134	2.083445391239912e-07	8
169	C1527249	Colorectal Cancer	disease	C04;C06	Neoplastic Process	Not Autism	676	False	0.015026660203587009	0.0005789228665228257	155
170	C1563937	Atherogenesis	phenotype	C14	Pathologic Function	Not Autism	54	False	0.0489578284052351	0.004157819805306821	505
171	C1704417	Hyperlipoproteinemia Type IIb	disease	C16;C18	Disease or Syndrome	Not Autism	12	False	0.0020358700920988853	1.0993660683243104e-05	21
172	C1704429	Hypoalphalipoproteinemia, Familial	disease	C16;C18	Disease or Syndrome	Not Autism	2	False	0.0014541929229277752	3.751224150666606e-05	15
173	C2931838	Familial HDL deficiency	disease	C16;C18	Disease or Syndrome	Not Autism	1	False	0.0007755695588948134	2.083445391239912e-07	8
174	C3165209	High density lipoprotein deficiency	disease		Disease or Syndrome	Not Autism	1	False	0.0007755695588948134	2.083445391239912e-07	8
175	C3276941	LOW DENSITY LIPOPROTEIN CHOLESTEROL LEVEL QUANTITATIVE TRAIT LOCUS 2	phenotype		Finding	Not Autism	8	False	0.003587009209888512	0.0009530339183290764	37
176	C3711531	Hdl Deficiency, Type 2	disease	C16;C18	Disease or Syndrome	Not Autism	1	False	0.0007755695588948134	2.083445391239912e-07	8
177	C0013990	Pathological accumulation of air in tissues	phenotype	C23	Pathologic Function	Not Autism	12	False	0.00465341735336888	1.4365038829103805e-05	48
178	C0020192	Hyaline Membrane Disease	disease	C08;C16	Disease or Syndrome	Not Autism	3	False	0.0007755695588948134	0.0001433773823654226	8
179	C0020542	Pulmonary Hypertension	phenotype	C08	Pathologic Function	Not Autism	38	False	0.018419777023751818	0.002615161853360035	190
180	C0034069	Pulmonary Fibrosis	disease	C08	Disease or Syndrome	Not Autism	78	False	0.043722733882695104	0.0013776526583228472	451
181	C0035220	Respiratory Distress Syndrome, Newborn	disease	C08;C16	Disease or Syndrome	Not Autism	5	False	0.0012603005332040718	0.0002873879030426861	13
182	C0085786	Hamman-Rich syndrome	disease	C08	Disease or Syndrome	Not Autism	89	False	0.0433349491032477	0.00254414554308038	447
183	C0852283	Respiratory Distress Syndrome	disease		Disease or Syndrome	Not Autism	3	False	0.0007755695588948134	0.0001433773823654226	8
184	C1800706	Idiopathic Pulmonary Fibrosis	disease	C08	Disease or Syndrome	Not Autism	18	False	0.0012603005332040718	2.2409521985766926e-05	13
185	C1855670	Abnormality of the cornea	group		Finding	Not Autism	41	False	0.0014541929229277752	0.0026462255383204627	15
186	C1970456	Surfactant Metabolism Dysfunction, Pulmonary, 3	disease	C08	Disease or Syndrome	Not Autism	1	False	0.000290838584585555	0.0	3
187	C0002896	Sideroblastic anemia	disease	C15	Disease or Syndrome	Not Autism	7	False	0.0026175472612699952	0.001156660544187585	27
188	C0004134	Ataxia	phenotype	C10;C23	Sign or Symptom	Not Autism	15	False	0.0067862336403296175	0.00022515612304228012	70
189	C0010828	Cytopenia	phenotype		Pathologic Function	Not Autism	206	False	0.02142510906446922	0.005987297224268021	221
190	C0158995	Congenital anemia	disease		Disease or Syndrome	Not Autism	206	False	0.021812893843916627	0.006258377601365751	225
191	C0240991	Ataxia, Sensory	phenotype	C10;C23	Sign or Symptom	Not Autism	15	False	0.0067862336403296175	0.00022515612304228012	70
192	C0278161	Ataxia, Motor	phenotype	C10;C23	Finding	Not Autism	15	False	0.0067862336403296175	0.00022515612304228012	70
193	C0427190	Ataxia, Truncal	phenotype	C10;C23	Sign or Symptom	Not Autism	15	False	0.0067862336403296175	0.00022515612304228012	70
194	C0520966	Abnormal coordination	phenotype	C10;C23	Finding	Not Autism	15	False	0.0067862336403296175	0.00022515612304228012	70
195	C0750937	Ataxia, Appendicular	phenotype	C10;C23	Finding	Not Autism	15	False	0.0067862336403296175	0.00022515612304228012	70
196	C0750940	Tremor, Rubral	disease	C10;C23	Disease or Syndrome	Not Autism	15	False	0.0067862336403296175	0.00022515612304228012	70
197	C1845028	ANEMIA, SIDEROBLASTIC, AND SPINOCEREBELLAR ATAXIA	disease	C10;C15;C16	Disease or Syndrome	Not Autism	1	False	9.694619486185167e-05	0.0	1
198	C0020517	Hypersensitivity	group	C20	Pathologic Function	Not Autism	63	False	0.03082888996606883	0.0008924419696495242	318
