"diseaseId","diseaseName","diseaseType","diseaseClass","diseaseSemanticType","autism_subtype_broad","n_genes","is_autism"
"C0751468","Bulbocavernosus Reflex, Decreased","phenotype","C10;C23","Finding","Not Autism",5,FALSE
"C0751469","Bulbocavernousus Reflex Absent","phenotype","C10;C23","Finding","Not Autism",5,FALSE
"C0751470","Palmo-Mental Reflex","phenotype","C10;C23","Finding","Not Autism",5,FALSE
"C0751471","Reflex, Anal, Decreased","phenotype","C10;C23","Finding","Not Autism",5,FALSE
"C0751472","Reflex, Ankle, Abnormal","phenotype","C10;C23","Finding","Not Autism",5,FALSE
"C0751473","Reflex, Ankle, Decreased","phenotype","C10;C23","Finding","Not Autism",5,FALSE
"C0751474","Reflex, Biceps, Abnormal","phenotype","C10;C23","Finding","Not Autism",5,FALSE
"C0751475","Reflex, Biceps, Decreased","phenotype","C10;C23","Finding","Not Autism",5,FALSE
"C0751476","Reflex, Gag, Decreased","phenotype","C10;C23","Finding","Not Autism",5,FALSE
"C0751477","Reflex, Knee, Abnormal","phenotype","C10;C23","Finding","Not Autism",5,FALSE
"C0751478","Reflex, Knee, Decreased","phenotype","C10;C23","Finding","Not Autism",5,FALSE
"C0751479","Reflex, Moro, Asymmetric","phenotype","C10;C23","Finding","Not Autism",5,FALSE
"C0751480","Reflex, Triceps, Abnormal","phenotype","C10;C23","Finding","Not Autism",5,FALSE
"C0751481","Reflex, Triceps, Decreased","phenotype","C10;C23","Finding","Not Autism",5,FALSE
"C0751494","Convulsive Seizures","phenotype","C10;C23","Sign or Symptom","Not Autism",99,FALSE
"C0751495","Seizures, Focal","phenotype","C10;C23","Disease or Syndrome","Not Autism",99,FALSE
"C0751496","Seizures, Sensory","phenotype","C10;C23","Sign or Symptom","Not Autism",99,FALSE
"C0751651","Mitochondrial Diseases","group","C18","Disease or Syndrome","Not Autism",306,FALSE
"C2267233","Neonatal Hypotonia","disease","C10;C23","Disease or Syndrome","Not Autism",6,FALSE
"C3495874","Nonepileptic Seizures","disease","C10;C23","Disease or Syndrome","Not Autism",99,FALSE
"C4048158","Convulsions","phenotype","C10;C23","Sign or Symptom","Not Autism",99,FALSE
"C4316903","Absence Seizures","phenotype","C10;C23","Sign or Symptom","Not Autism",99,FALSE
"C4317109","Epileptic Seizures","disease","C10;C23","Disease or Syndrome","Not Autism",99,FALSE
"C4317123","Myoclonic Seizures","phenotype","C10;C23","Sign or Symptom","Not Autism",99,FALSE
"C4505436","Generalized Absence Seizures","disease","C10;C23","Disease or Syndrome","Not Autism",99,FALSE
"C0004153","Atherosclerosis","disease","C14","Disease or Syndrome","Not Autism",54,FALSE
"C0009402","Colorectal Carcinoma","disease","C04;C06","Neoplastic Process","Not Autism",249,FALSE
"C0009404","Colorectal Neoplasms","group","C04;C06","Neoplastic Process","Not Autism",248,FALSE
"C0020443","Hypercholesterolemia","disease","C18","Disease or Syndrome","Not Autism",22,FALSE
"C0020445","Hypercholesterolemia, Familial","disease","C16;C18","Disease or Syndrome","Not Autism",39,FALSE
"C0022661","Kidney Failure, Chronic","disease","C12;C13","Disease or Syndrome","Not Autism",46,FALSE
"C0031117","Peripheral Neuropathy","group","C10","Disease or Syndrome","Not Autism",52,FALSE
"C0039292","Tangier Disease","disease","C10;C16;C18","Disease or Syndrome","Not Autism",1,FALSE
"C0342898","Apolipoprotein A-I deficiency","phenotype","","Pathologic Function","Not Autism",2,FALSE
"C0473527","Hypoalphalipoproteinemias","disease","C16;C18","Disease or Syndrome","Not Autism",2,FALSE
"C0745103","Hyperlipoproteinemia Type IIa","disease","C16;C18","Disease or Syndrome","Not Autism",16,FALSE
"C0751544","Tangier Disease Neuropathy","disease","C10;C16;C18","Disease or Syndrome","Not Autism",1,FALSE
"C1527249","Colorectal Cancer","disease","C04;C06","Neoplastic Process","Not Autism",676,FALSE
"C1563937","Atherogenesis","phenotype","C14","Pathologic Function","Not Autism",54,FALSE
"C1704417","Hyperlipoproteinemia Type IIb","disease","C16;C18","Disease or Syndrome","Not Autism",12,FALSE
"C1704429","Hypoalphalipoproteinemia, Familial","disease","C16;C18","Disease or Syndrome","Not Autism",2,FALSE
"C2931838","Familial HDL deficiency","disease","C16;C18","Disease or Syndrome","Not Autism",1,FALSE
"C3165209","High density lipoprotein deficiency","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C3276941","LOW DENSITY LIPOPROTEIN CHOLESTEROL LEVEL QUANTITATIVE TRAIT LOCUS 2","phenotype","","Finding","Not Autism",8,FALSE
"C3711531","Hdl Deficiency, Type 2","disease","C16;C18","Disease or Syndrome","Not Autism",1,FALSE
"C0013990","Pathological accumulation of air in tissues","phenotype","C23","Pathologic Function","Not Autism",12,FALSE
"C0020192","Hyaline Membrane Disease","disease","C08;C16","Disease or Syndrome","Not Autism",3,FALSE
"C0020542","Pulmonary Hypertension","phenotype","C08","Pathologic Function","Not Autism",38,FALSE
"C0034069","Pulmonary Fibrosis","disease","C08","Disease or Syndrome","Not Autism",78,FALSE
"C0035220","Respiratory Distress Syndrome, Newborn","disease","C08;C16","Disease or Syndrome","Not Autism",5,FALSE
"C0085786","Hamman-Rich syndrome","disease","C08","Disease or Syndrome","Not Autism",89,FALSE
"C0852283","Respiratory Distress Syndrome","disease","","Disease or Syndrome","Not Autism",3,FALSE
"C1800706","Idiopathic Pulmonary Fibrosis","disease","C08","Disease or Syndrome","Not Autism",18,FALSE
"C1855670","Abnormality of the cornea","group","","Finding","Not Autism",41,FALSE
"C1970456","Surfactant Metabolism Dysfunction, Pulmonary, 3","disease","C08","Disease or Syndrome","Not Autism",1,FALSE
"C0002896","Sideroblastic anemia","disease","C15","Disease or Syndrome","Not Autism",7,FALSE
"C0004134","Ataxia","phenotype","C10;C23","Sign or Symptom","Not Autism",15,FALSE
"C0010828","Cytopenia","phenotype","","Pathologic Function","Not Autism",206,FALSE
"C0158995","Congenital anemia","disease","","Disease or Syndrome","Not Autism",206,FALSE
"C0240991","Ataxia, Sensory","phenotype","C10;C23","Sign or Symptom","Not Autism",15,FALSE
"C0278161","Ataxia, Motor","phenotype","C10;C23","Finding","Not Autism",15,FALSE
"C0427190","Ataxia, Truncal","phenotype","C10;C23","Sign or Symptom","Not Autism",15,FALSE
"C0520966","Abnormal coordination","phenotype","C10;C23","Finding","Not Autism",15,FALSE
"C0750937","Ataxia, Appendicular","phenotype","C10;C23","Finding","Not Autism",15,FALSE
"C0750940","Tremor, Rubral","disease","C10;C23","Disease or Syndrome","Not Autism",15,FALSE
"C1845028","ANEMIA, SIDEROBLASTIC, AND SPINOCEREBELLAR ATAXIA","disease","C10;C15;C16","Disease or Syndrome","Not Autism",1,FALSE
"C0020517","Hypersensitivity","group","C20","Pathologic Function","Not Autism",63,FALSE
"C0032285","Pneumonia","disease","C08","Disease or Syndrome","Not Autism",52,FALSE
"C0032300","Lobar Pneumonia","disease","C08","Disease or Syndrome","Not Autism",52,FALSE
"C0235874","Disease Exacerbation","phenotype","C23","Finding","Not Autism",142,FALSE
"C0887898","Experimental Lung Inflammation","disease","C08","Experimental Model of Disease","Not Autism",52,FALSE
"C1527304","Allergic Reaction","phenotype","C20","Pathologic Function","Not Autism",63,FALSE
"C3714636","Pneumonitis","disease","C08","Disease or Syndrome","Not Autism",52,FALSE
"C0008924","Cleft upper lip","disease","C07;C16","Congenital Abnormality","Not Autism",28,FALSE
"C0035334","Retinitis Pigmentosa","disease","C11;C16","Disease or Syndrome","Not Autism",96,FALSE
"C0242383","Age related macular degeneration","disease","C11","Disease or Syndrome","Not Autism",19,FALSE
"C0271093","Stargardt's disease","phenotype","C11","Disease or Syndrome","Not Autism",5,FALSE
"C1855465","STARGARDT DISEASE 1 (disorder)","disease","C11","Disease or Syndrome","Not Autism",5,FALSE
"C1858080","Retinal Dystrophy, Early Onset Severe","disease","C11;C16","Disease or Syndrome","Not Autism",6,FALSE
"C1858806","CONE-ROD DYSTROPHY 3 (disorder)","disease","C11;C16","Disease or Syndrome","Not Autism",1,FALSE
"C1866422","RETINITIS PIGMENTOSA 19","disease","C11;C16","Disease or Syndrome","Not Autism",1,FALSE
"C3495438","Macular Degeneration, Age-Related, 2","disease","C11","Disease or Syndrome","Not Autism",1,FALSE
"C4282180","Juvenile macular degeneration","disease","C11","Disease or Syndrome","Not Autism",2,FALSE
"C0001418","Adenocarcinoma","group","C04","Neoplastic Process","Not Autism",114,FALSE
"C0005941","Bone Diseases, Developmental","group","C05","Disease or Syndrome","Not Autism",27,FALSE
"C0006413","Burkitt Lymphoma","disease","C02;C04;C15;C20","Neoplastic Process","Not Autism",36,FALSE
"C0014859","Esophageal Neoplasms","group","C04;C06","Neoplastic Process","Not Autism",74,FALSE
"C0015544","Failure to Thrive","disease","C23","Disease or Syndrome","Not Autism",1,FALSE
"C0018798","Congenital Heart Defects","group","C14;C16","Congenital Abnormality","Not Autism",38,FALSE
"C0023473","Myeloid Leukemia, Chronic","disease","C04;C15","Neoplastic Process","Not Autism",28,FALSE
"C0025202","melanoma","disease","C04","Neoplastic Process","Not Autism",238,FALSE
"C0027659","Neoplasms, Experimental","group","C04","Experimental Model of Disease; Neoplastic Process","Not Autism",60,FALSE
"C0032927","Precancerous Conditions","group","C04","Neoplastic Process","Not Autism",107,FALSE
"C0151491","Congenital musculoskeletal anomalies","group","C05;C16","Congenital Abnormality","Not Autism",6,FALSE
"C0205641","Adenocarcinoma, Basal Cell","disease","C04","Neoplastic Process","Not Autism",114,FALSE
"C0205642","Adenocarcinoma, Oxyphilic","disease","C04","Neoplastic Process","Not Autism",114,FALSE
"C0205643","Carcinoma, Cribriform","disease","C04","Neoplastic Process","Not Autism",114,FALSE
"C0205644","Carcinoma, Granular Cell","disease","C04","Neoplastic Process","Not Autism",114,FALSE
"C0205645","Adenocarcinoma, Tubular","disease","C04","Neoplastic Process","Not Autism",114,FALSE
"C0282313","Condition, Preneoplastic","phenotype","C04","Neoplastic Process","Not Autism",107,FALSE
"C0345958","Large cell carcinoma of lung","disease","","Neoplastic Process","Not Autism",32,FALSE
"C0546837","Malignant neoplasm of esophagus","disease","C04;C06","Neoplastic Process","Not Autism",74,FALSE
"C0596263","Carcinogenesis","phenotype","C04;C23","Neoplastic Process","Not Autism",12,FALSE
"C1292769","Precursor B-cell lymphoblastic leukemia","disease","","Neoplastic Process","Not Autism",21,FALSE
"C1961099","Precursor T-Cell Lymphoblastic Leukemia-Lymphoma","disease","C04;C15;C20","Neoplastic Process","Not Autism",52,FALSE
"C4539857","CONGENITAL HEART DEFECTS AND SKELETAL MALFORMATIONS SYNDROME","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C0018800","Cardiomegaly","phenotype","C14;C23","Finding","Not Autism",73,FALSE
"C0020538","Hypertensive disease","group","C14","Disease or Syndrome","Not Autism",190,FALSE
"C1383860","Cardiac Hypertrophy","phenotype","C14;C23","Pathologic Function","Not Autism",73,FALSE
"C0010474","Curling Ulcer","disease","C06","Disease or Syndrome","Not Autism",6,FALSE
"C0013295","Duodenal Ulcer","disease","C06","Disease or Syndrome","Not Autism",6,FALSE
"C0030297","Pancreatic Neoplasm","disease","C04;C06;C19","Neoplastic Process","Not Autism",94,FALSE
"C0038454","Cerebrovascular accident","group","C10;C14","Disease or Syndrome","Not Autism",55,FALSE
"C0085762","Alcohol abuse","disease","C25;F03","Mental or Behavioral Dysfunction","Not Autism",68,FALSE
"C0346647","Malignant neoplasm of pancreas","disease","C04;C06;C19","Neoplastic Process","Not Autism",95,FALSE
"C0525045","Mood Disorders","group","F03","Mental or Behavioral Dysfunction","Not Autism",185,FALSE
"C0677886","Epithelial ovarian cancer","disease","C04;C13;C19","Neoplastic Process","Not Autism",18,FALSE
"C0751956","Acute Cerebrovascular Accidents","disease","C10;C14","Disease or Syndrome","Not Autism",55,FALSE
"C0018801","Heart failure","disease","C14","Disease or Syndrome","Not Autism",98,FALSE
"C0018802","Congestive heart failure","disease","C14","Disease or Syndrome","Not Autism",98,FALSE
"C0023212","Left-Sided Heart Failure","disease","C14","Disease or Syndrome","Not Autism",98,FALSE
"C0235527","Heart Failure, Right-Sided","disease","C14","Disease or Syndrome","Not Autism",98,FALSE
"C0268603","Acetyl-CoA: carboxylase deficiency","disease","C16;C18","Disease or Syndrome","Not Autism",1,FALSE
"C1959583","Myocardial Failure","disease","C14","Disease or Syndrome","Not Autism",98,FALSE
"C1961112","Heart Decompensation","phenotype","C14","Pathologic Function","Not Autism",98,FALSE
"C0021655","Insulin Resistance","phenotype","C18","Pathologic Function","Not Autism",52,FALSE
"C0028754","Obesity","disease","C18;C23","Disease or Syndrome","Not Autism",176,FALSE
"C0920563","Insulin Sensitivity","phenotype","C18","Pathologic Function","Not Autism",52,FALSE
"C1335302","Pancreatic Ductal Adenocarcinoma","disease","","Neoplastic Process","Not Autism",11,FALSE
"C0220711","Long chain acyl-CoA dehydrogenase deficiency","disease","C16;C18","Disease or Syndrome","Not Autism",1,FALSE
"C0220994","Hyperammonemia","phenotype","C23","Disease or Syndrome","Not Autism",104,FALSE
"C0003886","Arthrogryposis","disease","C05;C16","Disease or Syndrome","Not Autism",257,FALSE
"C0035410","Rhabdomyolysis","phenotype","C05","Pathologic Function","Not Autism",54,FALSE
"C0043094","Weight Gain","phenotype","C23","Finding","Not Autism",99,FALSE
"C0085605","Liver Failure","disease","C06","Disease or Syndrome","Not Autism",4,FALSE
"C0220710","Medium-chain acyl-coenzyme A dehydrogenase deficiency","disease","C16;C18","Disease or Syndrome","Not Autism",1,FALSE
"C0520459","Necrotizing Enterocolitis","disease","C06","Disease or Syndrome","Not Autism",17,FALSE
"C0005586","Bipolar Disorder","disease","F03","Mental or Behavioral Dysfunction","Not Autism",505,FALSE
"C0342783","Deficiency of butyryl-CoA dehydrogenase","disease","C16;C18","Disease or Syndrome","Not Autism",1,FALSE
"C1864912","2-Methylbutyryl-CoA Dehydrogenase Deficiency","disease","C16;C18","Disease or Syndrome","Not Autism",1,FALSE
"C0003129","Anoxemia","phenotype","C23","Sign or Symptom","Not Autism",33,FALSE
"C0003130","Anoxia","phenotype","C23","Pathologic Function","Not Autism",33,FALSE
"C0007194","Hypertrophic Cardiomyopathy","disease","C14","Disease or Syndrome","Not Autism",86,FALSE
"C0242184","Hypoxia","phenotype","C23","Pathologic Function","Not Autism",33,FALSE
"C0700292","Hypoxemia","phenotype","C23","Finding","Not Autism",33,FALSE
